Code;Année;Taux Chomage
FR-40;01/01/2020;7.8
FR-41;01/01/2020;6.5
FR-42;01/01/2020;7.9
FR-43;01/01/2020;6.3
FR-44;01/01/2020;6.8
FR-45;01/01/2020;7.6
FR-46;01/01/2020;7.9
FR-47;01/01/2020;7.9
FR-48;01/01/2020;5.00
FR-49;01/01/2020;7.4
FR-50;01/01/2020;6.00
FR-51;01/01/2020;7.5
FR-52;01/01/2020;6.9
FR-53;01/01/2020;5.6
FR-54;01/01/2020;7.6
FR-55;01/01/2020;7.3
FR-56;01/01/2020;6.9
FR-57;01/01/2020;7.7
FR-58;01/01/2020;6.5
FR-59;01/01/2020;10.00
FR-60;01/01/2020;8.1
FR-61;01/01/2020;7.4
FR-62;01/01/2020;9.4
FR-63;01/01/2020;6.9
FR-64;01/01/2020;6.7
FR-65;01/01/2020;9.2
FR-66;01/01/2020;12.5
FR-67;01/01/2020;6.9
FR-68;01/01/2020;8.00
FR-69;01/01/2020;7.3
FR-70;01/01/2020;7.1
FR-71;01/01/2020;7.00
FR-72;01/01/2020;8.1
FR-73;01/01/2020;6.4
FR-74;01/01/2020;6.4
FR-75;01/01/2020;6.4
FR-76;01/01/2020;9.00
FR-77;01/01/2020;7.00
FR-78;01/01/2020;6.4
FR-79;01/01/2020;5.9
FR-80;01/01/2020;9.3
FR-81;01/01/2020;8.1
FR-82;01/01/2020;9.00
FR-83;01/01/2020;8.5
FR-84;01/01/2020;10.2
FR-85;01/01/2020;6.5
FR-86;01/01/2020;6.5
FR-87;01/01/2020;7.3
FR-88;01/01/2020;8.4
FR-89;01/01/2020;7.2
FR-90;01/01/2020;8.4
FR-91;01/01/2020;7.2
FR-92;01/01/2020;8.9
FR-93;01/01/2020;6.7
FR-94;01/01/2020;7.4
FR-95;01/01/2020;8.5
FR-01;01/01/2021;6.1
FR-02;01/01/2021;11.5
FR-03;01/01/2021;8.5
FR-04;01/01/2021;9.2
FR-05;01/01/2021;7.3
FR-06;01/01/2021;8.8
FR-07;01/01/2021;9.00
FR-08;01/01/2021;9.8
FR-09;01/01/2021;10.00
FR-10;01/01/2021;10.2
FR-11;01/01/2021;10.8
FR-12;01/01/2021;6.1
FR-13;01/01/2021;9.4
FR-14;01/01/2021;7.2
FR-15;01/01/2021;4.3
FR-16;01/01/2021;7.8
FR-17;01/01/2021;8.1
FR-18;01/01/2021;8.00
FR-19;01/01/2021;6.6
FR-21;01/01/2021;6.00
FR-22;01/01/2021;7.00
FR-23;01/01/2021;7.4
FR-24;01/01/2021;8.00
FR-25;01/01/2021;7.4
FR-26;01/01/2021;8.9
FR-27;01/01/2021;8.1
FR-28;01/01/2021;7.2
FR-29;01/01/2021;6.8
FR-2A;01/01/2021;6.7
FR-2B;01/01/2021;7.7
FR-30;01/01/2021;11.00
FR-31;01/01/2021;8.1
FR-32;01/01/2021;6.1
FR-33;01/01/2021;7.4
FR-34;01/01/2021;11.2
FR-35;01/01/2021;5.8
FR-36;01/01/2021;7.7
FR-37;01/01/2021;7.00
FR-38;01/01/2021;6.6
FR-39;01/01/2021;5.5
FR-40;01/01/2021;7.8
FR-41;01/01/2021;6.5
FR-42;01/01/2021;7.9
FR-43;01/01/2021;6.2
FR-44;01/01/2021;6.6
FR-45;01/01/2021;7.5
FR-46;01/01/2021;8.00
FR-47;01/01/2021;8.00
FR-48;01/01/2021;5.1
FR-49;01/01/2021;7.2
FR-50;01/01/2021;5.7
FR-51;01/01/2021;7.6
FR-52;01/01/2021;6.9
FR-53;01/01/2021;5.3
FR-54;01/01/2021;7.8
FR-55;01/01/2021;8.00
