Code du département.1;Candidat_id;% Voix/Exp.1;annee
FR-61;6;0.24;01/01/2012
FR-62;6;0.21;01/01/2012
FR-63;6;0.27;01/01/2012
FR-64;6;0.22;01/01/2012
FR-65;6;0.21;01/01/2012
FR-66;6;0.22;01/01/2012
FR-67;6;0.28;01/01/2012
FR-68;6;0.33;01/01/2012
FR-69;6;0.26;01/01/2012
FR-70;6;0.28;01/01/2012
FR-71;6;0.25;01/01/2012
FR-72;6;0.23;01/01/2012
FR-73;6;0.27;01/01/2012
FR-74;6;0.31;01/01/2012
FR-75;6;0.23;01/01/2012
FR-76;6;0.24;01/01/2012
FR-77;6;0.26;01/01/2012
FR-78;6;0.28;01/01/2012
FR-79;6;0.26;01/01/2012
FR-80;6;0.22;01/01/2012
FR-81;6;0.23;01/01/2012
FR-82;6;0.25;01/01/2012
FR-83;6;0.21;01/01/2012
FR-84;6;0.21;01/01/2012
FR-85;6;0.24;01/01/2012
FR-86;6;0.23;01/01/2012
FR-87;6;0.24;01/01/2012
FR-88;6;0.29;01/01/2012
FR-89;6;0.25;01/01/2012
FR-90;6;0.29;01/01/2012
FR-91;6;0.24;01/01/2012
FR-92;6;0.26;01/01/2012
FR-93;6;0.24;01/01/2012
FR-94;6;0.26;01/01/2012
FR-95;6;0.25;01/01/2012
FR-01;8;10.16;01/01/2012
FR-02;8;6.68;01/01/2012
FR-03;8;8.65;01/01/2012
FR-04;8;7.42;01/01/2012
FR-05;8;9.86;01/01/2012
FR-06;8;6.69;01/01/2012
FR-07;8;9.15;01/01/2012
FR-08;8;7.52;01/01/2012
FR-09;8;6.67;01/01/2012
FR-10;8;8.37;01/01/2012
FR-11;8;6.04;01/01/2012
FR-12;8;12.55;01/01/2012
FR-13;8;6.35;01/01/2012
FR-14;8;10.1;01/01/2012
FR-15;8;11.16;01/01/2012
FR-16;8;8.81;01/01/2012
FR-17;8;9.08;01/01/2012
FR-18;8;8.84;01/01/2012
FR-19;8;6.93;01/01/2012
FR-2A;8;5.48;01/01/2012
FR-2B;8;4.6;01/01/2012
FR-21;8;9.37;01/01/2012
FR-22;8;10.6;01/01/2012
FR-23;8;8.33;01/01/2012
FR-24;8;8.07;01/01/2012
FR-25;8;8.8;01/01/2012
FR-26;8;8.88;01/01/2012
FR-27;8;8.41;01/01/2012
FR-28;8;9.22;01/01/2012
FR-29;8;11.27;01/01/2012
FR-30;8;6.91;01/01/2012
FR-31;8;9.32;01/01/2012
FR-32;8;9.95;01/01/2012
FR-33;8;9.68;01/01/2012
FR-34;8;6.86;01/01/2012
FR-35;8;12.35;01/01/2012
FR-36;8;8.98;01/01/2012
FR-37;8;10.27;01/01/2012
FR-38;8;9.1;01/01/2012
FR-39;8;9.62;01/01/2012
FR-40;8;10.43;01/01/2012
FR-41;8;9.76;01/01/2012
FR-42;8;9.75;01/01/2012
FR-43;8;11.17;01/01/2012
FR-44;8;11.3;01/01/2012
FR-45;8;9.31;01/01/2012
FR-46;8;9.33;01/01/2012
FR-47;8;8.85;01/01/2012
FR-48;8;11.01;01/01/2012
FR-49;8;12.77;01/01/2012
FR-50;8;11.2;01/01/2012
FR-51;8;9.5;01/01/2012
FR-52;8;7.97;01/01/2012
FR-53;8;13.78;01/01/2012
FR-54;8;8.69;01/01/2012
FR-55;8;9.23;01/01/2012
FR-56;8;10.85;01/01/2012
FR-57;8;9.29;01/01/2012
FR-58;8;7.46;01/01/2012
FR-59;8;7.48;01/01/2012
FR-60;8;7.61;01/01/2012
FR-61;8;10.55;01/01/2012
FR-62;8;6.4;01/01/2012
FR-63;8;9.95;01/01/2012
FR-64;8;15.67;01/01/2012
FR-65;8;10.55;01/01/2012
FR-66;8;6.29;01/01/2012
FR-67;8;11.94;01/01/2012
FR-68;8;11.39;01/01/2012
FR-69;8;10.3;01/01/2012
FR-70;8;7.61;01/01/2012
FR-71;8;8.83;01/01/2012
FR-72;8;9.14;01/01/2012
FR-73;8;9.89;01/01/2012
FR-74;8;11.83;01/01/2012
FR-75;8;9.34;01/01/2012
FR-76;8;7.83;01/01/2012
FR-77;8;8.55;01/01/2012
FR-78;8;11.24;01/01/2012
FR-79;8;11;01/01/2012
FR-80;8;7.31;01/01/2012
FR-81;8;9.18;01/01/2012
FR-82;8;8.28;01/01/2012
FR-83;8;6.66;01/01/2012
FR-84;8;6.73;01/01/2012
FR-85;8;12.13;01/01/2012
FR-86;8;9.59;01/01/2012
FR-87;8;7.89;01/01/2012
FR-88;8;9.4;01/01/2012
FR-89;8;8.47;01/01/2012
FR-90;8;8.85;01/01/2012
FR-91;8;9.33;01/01/2012
FR-92;8;10.69;01/01/2012
FR-93;8;6.12;01/01/2012
FR-94;8;8.86;01/01/2012
FR-95;8;8.39;01/01/2012
FR-01;9;2.24;01/01/2012
