ISO_Code;Grand secteur d'activité;Date;Valeur
FR-41;GS5 Autres services marchands hors intérim;01/01/2010;2613
FR-41;GS7 Services non marchands;01/01/2010;715
FR-41;GS6 Intérim;01/01/2010;81
FR-42;GS1 Industrie;01/01/2010;2715
FR-42;GS6 Intérim;01/01/2010;146
FR-42;GS4 Hôtellerie-restauration;01/01/2010;1536
FR-42;GS7 Services non marchands;01/01/2010;1927
FR-42;GS3 Commerce;01/01/2010;4606
FR-42;GS2 Construction;01/01/2010;2825
FR-42;GS5 Autres services marchands hors intérim;01/01/2010;7686
FR-43;GS5 Autres services marchands hors intérim;01/01/2010;1893
FR-43;GS3 Commerce;01/01/2010;1352
FR-43;GS4 Hôtellerie-restauration;01/01/2010;530
FR-43;GS6 Intérim;01/01/2010;33
FR-43;GS7 Services non marchands;01/01/2010;650
FR-43;GS2 Construction;01/01/2010;936
FR-43;GS1 Industrie;01/01/2010;916
FR-44;GS4 Hôtellerie-restauration;01/01/2010;3080
FR-44;GS6 Intérim;01/01/2010;373
FR-44;GS2 Construction;01/01/2010;4228
FR-44;GS7 Services non marchands;01/01/2010;3539
FR-44;GS3 Commerce;01/01/2010;7328
FR-44;GS1 Industrie;01/01/2010;2867
FR-44;GS5 Autres services marchands hors intérim;01/01/2010;13367
FR-45;GS2 Construction;01/01/2010;2284
FR-45;GS1 Industrie;01/01/2010;1522
FR-45;GS5 Autres services marchands hors intérim;01/01/2010;5909
FR-45;GS4 Hôtellerie-restauration;01/01/2010;1232
FR-45;GS6 Intérim;01/01/2010;221
FR-45;GS7 Services non marchands;01/01/2010;1425
FR-45;GS3 Commerce;01/01/2010;3470
FR-46;GS1 Industrie;01/01/2010;501
FR-46;GS4 Hôtellerie-restauration;01/01/2010;484
FR-46;GS7 Services non marchands;01/01/2010;413
FR-46;GS6 Intérim;01/01/2010;27
FR-46;GS2 Construction;01/01/2010;804
FR-46;GS5 Autres services marchands hors intérim;01/01/2010;1489
FR-46;GS3 Commerce;01/01/2010;1215
FR-47;GS3 Commerce;01/01/2010;2389
FR-47;GS7 Services non marchands;01/01/2010;875
FR-47;GS1 Industrie;01/01/2010;896
FR-47;GS4 Hôtellerie-restauration;01/01/2010;647
FR-47;GS5 Autres services marchands hors intérim;01/01/2010;2938
FR-47;GS2 Construction;01/01/2010;1312
FR-47;GS6 Intérim;01/01/2010;73
FR-48;GS4 Hôtellerie-restauration;01/01/2010;306
FR-48;GS7 Services non marchands;01/01/2010;274
FR-48;GS6 Intérim;01/01/2010;3
FR-48;GS1 Industrie;01/01/2010;221
FR-48;GS2 Construction;01/01/2010;380
FR-48;GS3 Commerce;01/01/2010;518
FR-48;GS5 Autres services marchands hors intérim;01/01/2010;789
FR-49;GS4 Hôtellerie-restauration;01/01/2010;1483
FR-49;GS7 Services non marchands;01/01/2010;2138
FR-49;GS3 Commerce;01/01/2010;4300
FR-49;GS1 Industrie;01/01/2010;2083
FR-49;GS2 Construction;01/01/2010;2611
FR-49;GS5 Autres services marchands hors intérim;01/01/2010;6881
FR-49;GS6 Intérim;01/01/2010;175
FR-50;GS2 Construction;01/01/2010;1700
FR-50;GS3 Commerce;01/01/2010;3144
FR-50;GS6 Intérim;01/01/2010;116
FR-50;GS5 Autres services marchands hors intérim;01/01/2010;3878
FR-50;GS7 Services non marchands;01/01/2010;984
FR-50;GS1 Industrie;01/01/2010;1185
FR-50;GS4 Hôtellerie-restauration;01/01/2010;1150
FR-51;GS4 Hôtellerie-restauration;01/01/2010;1026
FR-51;GS6 Intérim;01/01/2010;142
FR-51;GS1 Industrie;01/01/2010;1256
FR-51;GS7 Services non marchands;01/01/2010;1259
FR-51;GS5 Autres services marchands hors intérim;01/01/2010;4910
FR-51;GS2 Construction;01/01/2010;1862
FR-51;GS3 Commerce;01/01/2010;3241
FR-52;GS5 Autres services marchands hors intérim;01/01/2010;1408
FR-52;GS2 Construction;01/01/2010;551
FR-52;GS3 Commerce;01/01/2010;1029
FR-52;GS7 Services non marchands;01/01/2010;391
FR-52;GS6 Intérim;01/01/2010;44
FR-52;GS4 Hôtellerie-restauration;01/01/2010;307
FR-52;GS1 Industrie;01/01/2010;574
FR-53;GS5 Autres services marchands hors intérim;01/01/2010;2406
FR-53;GS7 Services non marchands;01/01/2010;709
FR-53;GS6 Intérim;01/01/2010;71
FR-53;GS1 Industrie;01/01/2010;854
FR-53;GS2 Construction;01/01/2010;1064
FR-53;GS3 Commerce;01/01/2010;1641
FR-53;GS4 Hôtellerie-restauration;01/01/2010;522
FR-54;GS4 Hôtellerie-restauration;01/01/2010;1268
FR-54;GS7 Services non marchands;01/01/2010;1840
FR-54;GS5 Autres services marchands hors intérim;01/01/2010;5932
FR-54;GS3 Commerce;01/01/2010;3562
FR-54;GS6 Intérim;01/01/2010;132
FR-54;GS2 Construction;01/01/2010;1977
FR-54;GS1 Industrie;01/01/2010;1513
FR-55;GS5 Autres services marchands hors intérim;01/01/2010;1184
FR-55;GS2 Construction;01/01/2010;551
FR-55;GS1 Industrie;01/01/2010;485
FR-55;GS3 Commerce;01/01/2010;846
FR-55;GS4 Hôtellerie-restauration;01/01/2010;302
FR-55;GS6 Intérim;01/01/2010;23
FR-55;GS7 Services non marchands;01/01/2010;455
FR-56;GS5 Autres services marchands hors intérim;01/01/2010;6281
FR-56;GS7 Services non marchands;01/01/2010;1791
FR-56;GS4 Hôtellerie-restauration;01/01/2010;2157
FR-56;GS1 Industrie;01/01/2010;1779
FR-56;GS3 Commerce;01/01/2010;4423
FR-56;GS2 Construction;01/01/2010;2838
FR-56;GS6 Intérim;01/01/2010;149
FR-57;GS4 Hôtellerie-restauration;01/01/2010;1965
FR-57;GS7 Services non marchands;01/01/2010;2560
FR-57;GS6 Intérim;01/01/2010;269
FR-57;GS2 Construction;01/01/2010;2958
FR-57;GS5 Autres services marchands hors intérim;01/01/2010;7425
FR-57;GS3 Commerce;01/01/2010;5495
FR-57;GS1 Industrie;01/01/2010;2111
FR-58;GS7 Services non marchands;01/01/2010;540
FR-58;GS1 Industrie;01/01/2010;535
FR-58;GS4 Hôtellerie-restauration;01/01/2010;483
FR-58;GS6 Intérim;01/01/2010;37
FR-58;GS2 Construction;01/01/2010;805
FR-58;GS3 Commerce;01/01/2010;1245
FR-58;GS5 Autres services marchands hors intérim;01/01/2010;1728
FR-59;GS3 Commerce;01/01/2010;13104
FR-59;GS2 Construction;01/01/2010;5899
FR-59;GS1 Industrie;01/01/2010;4740
FR-59;GS5 Autres services marchands hors intérim;01/01/2010;21277
FR-59;GS6 Intérim;01/01/2010;562
FR-59;GS7 Services non marchands;01/01/2010;5961
FR-59;GS4 Hôtellerie-restauration;01/01/2010;4669
FR-60;GS5 Autres services marchands hors intérim;01/01/2010;6103
FR-60;GS1 Industrie;01/01/2010;1668
FR-60;GS2 Construction;01/01/2010;2515
FR-60;GS3 Commerce;01/01/2010;3648
FR-60;GS6 Intérim;01/01/2010;169
FR-60;GS7 Services non marchands;01/01/2010;1270
FR-60;GS4 Hôtellerie-restauration;01/01/2010;1261
FR-61;GS3 Commerce;01/01/2010;1658
FR-61;GS5 Autres services marchands hors intérim;01/01/2010;2214
FR-61;GS2 Construction;01/01/2010;1141
FR-61;GS7 Services non marchands;01/01/2010;704
FR-61;GS6 Intérim;01/01/2010;64
FR-61;GS4 Hôtellerie-restauration;01/01/2010;589
FR-61;GS1 Industrie;01/01/2010;769
FR-62;GS1 Industrie;01/01/2010;2505
FR-62;GS3 Commerce;01/01/2010;7419
FR-62;GS4 Hôtellerie-restauration;01/01/2010;2345
FR-62;GS5 Autres services marchands hors intérim;01/01/2010;9196
FR-62;GS6 Intérim;01/01/2010;206
FR-62;GS7 Services non marchands;01/01/2010;3006
FR-62;GS2 Construction;01/01/2010;3536
FR-63;GS5 Autres services marchands hors intérim;01/01/2010;6069
FR-63;GS3 Commerce;01/01/2010;3768
FR-63;GS2 Construction;01/01/2010;2157
FR-63;GS1 Industrie;01/01/2010;1611
FR-63;GS6 Intérim;01/01/2010;98
FR-63;GS4 Hôtellerie-restauration;01/01/2010;1550
FR-63;GS7 Services non marchands;01/01/2010;1467
FR-64;GS7 Services non marchands;01/01/2010;2046
FR-64;GS4 Hôtellerie-restauration;01/01/2010;2040
FR-64;GS6 Intérim;01/01/2010;156
FR-64;GS1 Industrie;01/01/2010;1804
FR-64;GS2 Construction;01/01/2010;2651
FR-64;GS5 Autres services marchands hors intérim;01/01/2010;7997
FR-64;GS3 Commerce;01/01/2010;4701
FR-65;GS1 Industrie;01/01/2010;577
FR-65;GS7 Services non marchands;01/01/2010;589
FR-65;GS6 Intérim;01/01/2010;42
FR-65;GS4 Hôtellerie-restauration;01/01/2010;966
FR-65;GS3 Commerce;01/01/2010;1715
FR-65;GS2 Construction;01/01/2010;820
FR-65;GS5 Autres services marchands hors intérim;01/01/2010;2475
FR-66;GS2 Construction;01/01/2010;1852
FR-66;GS7 Services non marchands;01/01/2010;1057
FR-66;GS5 Autres services marchands hors intérim;01/01/2010;4807
FR-66;GS6 Intérim;01/01/2010;54
