CodeDep;Année;Hommes;Femmes;total
FR-72;01/01/2017;275500;291006;566506
FR-73;01/01/2017;211107;220067;431174
FR-74;01/01/2017;396367;410993;807360
FR-75;01/01/2017;1029185;1158341;2187526
FR-76;01/01/2017;602660;651718;1254378
FR-77;01/01/2017;683444;720553;1403997
FR-78;01/01/2017;699583;738683;1438266
FR-79;01/01/2017;183000;191351;374351
FR-80;01/01/2017;277901;294542;572443
FR-81;01/01/2017;186590;201300;387890
FR-82;01/01/2017;126252;132097;258349
FR-83;01/01/2017;508079;550661;1058740
FR-84;01/01/2017;268660;290819;559479
FR-85;01/01/2017;329501;345746;675247
FR-86;01/01/2017;210854;226022;436876
FR-87;01/01/2017;178405;196021;374426
FR-88;01/01/2017;178763;188910;367673
FR-89;01/01/2017;164833;173458;338291
FR-90;01/01/2017;70795;71827;142622
FR-91;01/01/2017;634413;661717;1296130
FR-92;01/01/2017;765837;843469;1609306
FR-93;01/01/2017;798724;824387;1623111
FR-94;01/01/2017;667468;720458;1387926
FR-95;01/01/2017;595911;632707;1228618
FR-01;01/01/2020;324591;333265;657856
FR-02;01/01/2020;258373;271001;529374
FR-03;01/01/2020;161148;174480;335628
FR-04;01/01/2020;80134;85317;165451
FR-05;01/01/2020;68673;71932;140605
FR-06;01/01/2020;518860;578550;1097410
FR-07;01/01/2020;160890;168435;329325
FR-08;01/01/2020;131685;138016;269701
FR-09;01/01/2020;75280;78674;153954
FR-10;01/01/2020;151572;159863;311435
FR-11;01/01/2020;180223;194994;375217
FR-12;01/01/2020;138076;141478;279554
FR-13;01/01/2020;978242;1069828;2048070
FR-14;01/01/2020;335475;362072;697547
FR-15;01/01/2020;70550;73829;144379
FR-16;01/01/2020;170468;181250;351718
FR-17;01/01/2020;313998;341711;655709
FR-18;01/01/2020;145748;155185;300933
FR-19;01/01/2020;116370;122820;239190
FR-2A;01/01/2020;77757;83057;160814
FR-2B;01/01/2020;89278;93609;182887
FR-21;01/01/2020;258325;276753;535078
FR-22;01/01/2020;291617;312023;603640
FR-23;01/01/2020;56420;59575;115995
FR-24;01/01/2020;198874;213933;412807
FR-25;01/01/2020;266907;278302;545209
FR-26;01/01/2020;251120;266589;517709
FR-27;01/01/2020;292003;307665;599668
FR-28;01/01/2020;210906;220537;431443
FR-29;01/01/2020;445793;471386;917179
FR-30;01/01/2020;362114;389343;751457
FR-31;01/01/2020;689143;726614;1415757
FR-32;01/01/2020;93464;98355;191819
FR-33;01/01/2020;784489;851902;1636391
FR-34;01/01/2020;567664;621309;1188973
FR-35;01/01/2020;531762;557093;1088855
FR-36;01/01/2020;105617;113090;218707
FR-37;01/01/2020;294531;317588;612119
FR-38;01/01/2020;626204;651309;1277513
FR-39;01/01/2020;126202;132596;258798
FR-40;01/01/2020;202867;215255;418122
FR-41;01/01/2020;160088;169269;329357
FR-42;01/01/2020;372211;396297;768508
FR-43;01/01/2020;111959;115530;227489
FR-44;01/01/2020;703027;742144;1445171
FR-45;01/01/2020;332281;350023;682304
FR-46;01/01/2020;84882;89788;174670
FR-47;01/01/2020;158925;171919;330844
FR-48;01/01/2020;38258;38375;76633
FR-49;01/01/2020;398780;421933;820713
FR-50;01/01/2020;241823;253270;495093
FR-51;01/01/2020;274197;292462;566659
FR-52;01/01/2020;84245;87553;171798
FR-53;01/01/2020;151448;155090;306538
FR-54;01/01/2020;355765;376825;732590
FR-55;01/01/2020;90547;92454;183001
FR-56;01/01/2020;370746;393415;764161
FR-57;01/01/2020;512868;536287;1049155
FR-58;01/01/2020;97432;105238;202670
FR-59;01/01/2020;1258351;1349395;2607746
FR-60;01/01/2020;405522;424177;829699
FR-61;01/01/2020;135868;142607;278475
FR-62;01/01/2020;708146;754021;1462167
FR-63;01/01/2020;320439;341413;661852
FR-64;01/01/2020;329822;357418;687240
FR-65;01/01/2020;110827;118961;229788
FR-66;01/01/2020;229129;253636;482765
FR-67;01/01/2020;558656;589417;1148073
FR-68;01/01/2020;376731;391111;767842
FR-69;01/01/2020;906819;976618;1883437
FR-70;01/01/2020;115458;119143;234601
FR-71;01/01/2020;267937;283126;551063
FR-72;01/01/2020;275958;291035;566993
FR-73;01/01/2020;215660;224090;439750
FR-74;01/01/2020;410764;424442;835206
FR-75;01/01/2020;1008889;1137017;2145906
